airport,year,X.month,carrier,arr_flights,arr_del15,carrier_ct,X.weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,X.arr_delay,X.carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Latitude,Longitude
ORD,2014,2,VX,100,18,2.93,0.45,11.96,0,2.66,0,0,1626,240,20,1221,0,145,41.978603,-87.904842
ORD,2008,6,DL,323,139,18.48,1.35,105.17,0,14,4,2,8905,1603,167,6115,0,1020,41.978603,-87.904842
ORD,2004,12,HP,277,100,21.11,0,61.37,0.52,17,5,0,5218,1012,0,3273,15,918,41.978603,-87.904842
ORD,2004,6,AS,90,31,14.1,0,15.21,0,1.69,0,0,1600,610,0,903,0,87,41.978603,-87.904842
ORD,2015,3,VX,102,15,4.58,0.58,6,0,3.84,0,0,1189,293,24,549,0,323,41.978603,-87.904842
ORD,2004,4,AA,8294,2022,167.51,23.93,1532.21,1,297.35,82,6,108788,11791,2146,77410,104,17337,41.978603,-87.904842
ORD,2006,8,UA,8247,1846,332.12,76.48,885.67,0,551.73,144,27,124722,24531,4780,52007,0,43404,41.978603,-87.904842
ORD,2016,6,VX,147,38,12.85,4.13,11.33,0,9.7,0,0,2007,805,171,583,0,448,41.978603,-87.904842
ORD,2012,7,VX,186,27,4.17,3.37,9.34,0,10.12,0,1,1089,136,90,351,0,512,41.978603,-87.904842
ORD,2003,8,NW,694,166,49.75,36.86,61.63,0,17.76,29,0,8988,2535,2611,2847,0,995,41.978603,-87.904842
ORD,2011,8,AA,4748,893,225.58,43.5,285.03,0.61,338.29,187,24,60121,14458,3310,16433,11,25909,41.978603,-87.904842
ORD,2013,9,OO,2150,300,50.88,5.37,122.86,1,119.89,46,1,22124,4001,306,9539,16,8262,41.978603,-87.904842
ORD,2006,2,AS,112,45,11.04,0,25.72,0,8.24,0,0,2372,687,0,1417,0,268,41.978603,-87.904842
ORD,2013,4,AA,4411,1207,204.47,19.21,534.52,0,448.8,170,23,112331,20319,3097,47475,0,41440,41.978603,-87.904842
ORD,2013,6,US,620,231,58.46,3.78,123.76,0,45.01,7,3,15708,3669,387,7533,0,4119,41.978603,-87.904842
ORD,2010,1,AS,121,53,7.61,1.22,43.94,0,0.23,1,0,2192,427,70,1688,0,7,41.978603,-87.904842
ORD,2014,8,AA,4194,1447,220.34,33.53,690.7,0.76,501.68,27,19,93401,17521,2755,36644,40,36441,41.978603,-87.904842
ORD,2009,5,US,686,163,41.02,2.23,90.32,0.79,28.65,3,3,8762,2434,127,4783,30,1388,41.978603,-87.904842
ORD,2008,5,MQ,7604,1465,157.45,31.82,693.19,0.93,581.62,204,20,99588,17288,2515,42450,62,37273,41.978603,-87.904842
ORD,2004,1,OH,170,73,13.64,32.83,24.86,0,1.67,18,0,4227,596,2585,1017,0,29,41.978603,-87.904842
ORD,2009,3,NW,404,78,21.84,10.43,35.03,0,10.69,6,0,3462,875,630,1481,0,476,41.978603,-87.904842
ORD,2010,9,AA,4492,635,158.82,22.07,261.83,0.56,191.73,22,10,33078,12130,1198,9018,15,10717,41.978603,-87.904842
ORD,2008,11,OO,3081,523,40.89,1.99,295.68,0.81,183.63,56,2,33390,2679,121,18672,30,11888,41.978603,-87.904842
ORD,2004,2,OH,186,60,13.73,16.26,28.06,0,1.95,8,0,2842,727,925,1143,0,47,41.978603,-87.904842
ORD,2007,6,AS,120,52,9.18,0.52,32.89,1.15,8.26,0,1,3695,458,14,2384,58,781,41.978603,-87.904842
ORD,2011,11,EV,446,127,35.46,22.11,15.28,0,54.15,16,2,10053,2985,2313,687,0,4068,41.978603,-87.904842
ORD,2011,2,OO,2766,692,58.72,16.42,279.76,0.61,336.5,368,5,55405,5528,1891,22370,20,25596,41.978603,-87.904842
ORD,2012,3,DL,480,97,17.88,3.4,57.06,0,18.66,2,0,5078,932,400,2729,0,1017,41.978603,-87.904842
ORD,2008,7,UA,8079,2107,389.66,45.15,816.17,0.42,855.59,341,26,141690,26794,4415,45273,25,65183,41.978603,-87.904842
ORD,2015,10,AS,181,19,8.15,0,9.9,0,0.95,0,0,786,503,0,264,0,19,41.978603,-87.904842
ORD,2013,6,YV,854,258,35.5,19.05,55.15,4.39,143.9,60,6,21752,2798,1380,3149,202,14223,41.978603,-87.904842
ORD,2008,3,XE,251,102,21.63,2.95,47.26,0,30.16,31,0,7940,1841,379,3661,0,2059,41.978603,-87.904842
ORD,2003,10,HP,244,79,21.65,0,46.94,1.86,8.56,1,0,3228,1074,0,1675,176,303,41.978603,-87.904842
ORD,2010,6,US,596,176,35.37,3.66,102.87,0.63,33.47,10,5,12593,1701,435,8257,10,2190,41.978603,-87.904842
ORD,2007,11,MQ,7387,1753,156.08,15.83,951.56,0,629.53,138,3,103031,15433,1252,50266,0,36080,41.978603,-87.904842
ORD,2007,12,B6,210,97,14.17,0,60.29,0,22.54,12,1,8851,1331,0,5078,0,2442,41.978603,-87.904842
ORD,2006,10,CO,445,172,14,4.93,123.62,0.73,28.72,8,2,16999,815,743,12078,19,3344,41.978603,-87.904842
ORD,2008,5,US,638,158,33.49,1,93.47,0,30.04,11,2,10159,1957,111,6186,0,1905,41.978603,-87.904842
ORD,2013,8,F9,2,1,0,0.6,0.4,0,0,0,0,78,0,47,31,0,0,41.978603,-87.904842
ORD,2015,5,DL,705,89,26.1,4.86,43.43,0,14.61,2,3,5291,1671,451,1988,0,1181,41.978603,-87.904842
ORD,2007,3,YV,2580,785,175,12,330,2,266,250,11,76541,11717,1410,37132,46,26236,41.978603,-87.904842
ORD,2004,5,NW,645,236,37.44,86.92,102.1,0.24,9.3,62,4,15049,2099,6860,5514,23,553,41.978603,-87.904842
ORD,2011,5,DL,520,133,32.48,3.91,75.91,0,20.71,11,1,8359,1768,291,5068,0,1232,41.978603,-87.904842
ORD,2013,9,UA,4953,709,201.43,12.19,311.24,0,184.14,53,5,49605,11620,1134,20616,0,16235,41.978603,-87.904842
ORD,2009,7,DL,275,58,22.14,0.89,18.5,0,16.48,1,0,2616,936,85,555,0,1040,41.978603,-87.904842
ORD,2008,2,YV,1930,802,217,21,320,3,241,468,10,87097,19711,2940,40044,80,24322,41.978603,-87.904842
ORD,2007,10,DL,324,56,22.55,0,20.48,0,12.97,4,0,2668,1117,0,876,0,675,41.978603,-87.904842
ORD,2004,1,HP,243,114,9.63,0,95.32,0.47,8.58,16,0,6553,533,0,5399,7,614,41.978603,-87.904842
ORD,2014,12,B6,169,20,6.52,1,6.48,0.4,5.61,0,0,884,524,20,137,8,195,41.978603,-87.904842
ORD,2015,3,DL,604,106,40.24,2.31,46.84,0,16.61,1,1,5484,2183,54,2627,0,620,41.978603,-87.904842
ORD,2004,9,OO,2509,207,114,4,32,2,55,48,2,10899,4837,429,2200,98,3335,41.978603,-87.904842
ORD,2005,11,OH,268,84,16.78,8.15,59.08,0,0,7,0,4362,540,492,3330,0,0,41.978603,-87.904842
ORD,2014,11,US,597,115,46.05,0.53,42.54,0.24,25.65,0,0,4783,2165,20,1431,5,1162,41.978603,-87.904842
ORD,2004,10,HP,249,81,19.95,0.61,44.08,0,16.36,0,0,3385,934,46,1723,0,682,41.978603,-87.904842
ORD,2016,5,UA,6066,846,253.1,24.02,277.57,0,291.31,45,28,65915,19548,3233,18344,0,24790,41.978603,-87.904842
ORD,2006,7,US,645,258,59.36,10.29,117.46,0,70.89,11,2,14689,2700,1148,5939,0,4902,41.978603,-87.904842
ORD,2005,4,EV,5,2,0.18,1.82,0,0,0,0,0,144,11,133,0,0,0,41.978603,-87.904842
ORD,2005,10,DH,149,17,4.89,0,4.93,0,7.18,0,1,1146,341,0,242,0,563,41.978603,-87.904842
ORD,2011,4,CO,645,235,48.61,1.43,153.72,0.36,30.87,20,5,15910,2605,133,10741,10,2421,41.978603,-87.904842
ORD,2004,12,US,554,219,60.31,2.45,109.89,0,46.35,18,0,12825,3309,262,5714,0,3540,41.978603,-87.904842
